id	release	section	summary	text_sha1	verification	status
MODEL-001	F0	8.3	byte SHALL be the canonical element type for raw string-compatible storage; char	3c663af65be4	API type inventory.	todo
MODEL-002	F0	8.3	All public lengths, capacities, offsets, and counts SHALL use usize; conversion 	e9440a49554f	Signature lint; narrowing-boundary tests.	todo
MODEL-003	F0	8.3	Raw byte operations SHALL accept slices whose length travels with the reference,	6873aab70924	Signature lint.	todo
MODEL-004	R0.2	8.3	Text operations SHALL accept only values known to be valid UTF-8 and SHALL prese	cadc1b0d11e0	Invalid-input and boundary property tests.	todo
MODEL-005	R0.2	8.3	CStr SHALL borrow storage and SHALL NOT outlive it; its logical length excludes 	578fe57ce778	Borrow-check compile-pass/fail suite.	todo
MODEL-006	R0.2	8.3	CString SHALL own its storage and maintain exactly one trailing zero with no int	f2d750a92d73	Constructor and mutation invariant properties.	todo
MODEL-007	R0.2	8.3	CBuffer SHALL borrow fully initialized storage, use storage.len() as capacity, a	58fef0e91179	Model-based state-machine test.	todo
MODEL-008	F0	8.3	Ordering SHALL be the native result of comparisons. Native callers SHALL NOT dep	bbc3e15bec79	API test; ordering mapping test.	todo
MODEL-009	F0	8.3	Recoverable errors SHALL use Result/Option; panic is reserved for violated inter	9f5238e6c342	Error-path inventory.	todo
MODEL-010	R0.2	8.3	A borrowed result SHALL declare its source with the applicable borrows(...) rela	6dd4c01f8316	Borrow annotation lint and compile-fail cases.	todo
MODEL-011	F0	8.3	Mutable access SHALL be exclusive. APIs that accept both destination and source 	e8d137d2c754	Signature and contract inspection.	todo
MODEL-012	R0.2	8.3	Text U+0000 and byte 0x00 SHALL remain representable. Converting text to CString	fafe173abbb4	Embedded-NUL fixtures.	todo
MODEL-013	R0.2	8.3	Converting CStr/CString to text SHALL validate UTF-8 and return TextError on inv	dfd0c1640204	Invalid UTF-8 fixtures.	todo
MODEL-014	R0.2	8.3	Public constructors SHALL establish type invariants once; downstream methods SHA	f27590edd415	Constructor/mutation complexity and invariant tests.	todo
MODEL-015	R1	8.3	Public type layout SHALL not be part of the stable contract except in the separa	f2b4af4f3e29	ABI documentation lint.	todo
MODEL-016	F0	8.3	Interface inventories in this document SHALL distinguish semantic signatures fro	0200585f68bd	Documentation/source-fence lint and parser probes.	todo
MODEL-017	R0.3	8.3	Operation-specific reports SHALL not overload fields with incompatible meanings.	c33e8a093894	Public report inventory and cross-operation fixtures.	todo
ARCH-001	F0	9.1	The singular package SHALL expose flat, collision-resistant modules strings_type	5b95d274a739	Native and VM project compilation; public-surface inventory.	todo
ARCH-002	F0	9.1	Compatibility modules SHALL be the separately imported flat modules strings_c23,	95c7f97ea22c	Explicit-import and negative namespace tests.	todo
ARCH-003	R0.3	9.1	strings_c23 SHALL adapt to shared safe implementations rather than duplicate alg	fbb54e46572a	Implementation dependency review.	todo
ARCH-004	R0.4	9.1	strings_posix2024 SHALL reuse strings_c23 and safe modules for common operations	da80eb96a55b	Call-graph and duplicate-code lint.	todo
ARCH-005	R0.4	9.1	strings_legacy SHALL require an explicit import and mark every exported item dep	9787956b7dfb	Compile-warning fixtures and documentation lint.	todo
ARCH-006	Future	9.1	strings_unsafe_abi SHALL be feature-gated, separately versioned, and excluded fr	27067edada8e	Feature-off symbol absence; feature-on ABI tests.	todo
ARCH-007	F0	9.1	Pure sv0 implementations SHALL be the executable semantic reference. Accelerated	e736f00872f1	Reference/optimized implementation test matrix.	todo
ARCH-008	F0	9.1	The package SHALL not depend on network services or ambient mutable global state	488e66c1f25f	Dependency and global-state scan.	todo
ARCH-009	R0.2	9.1	Locale-independent modules SHALL return identical results under every host local	6bb6c642456b	Locale-matrix tests.	todo
ARCH-010	R1	9.1	Packaging SHALL use the accepted sv0 project/module mechanism at release time; t	ef2a90ca2395	Clean-project consumer test and evidence manifest.	todo
ARCH-011	F0	9.1	Because current project discovery recursively compiles every .sv0 file, each tes	f81b56087283	Test-runner self-test, duplicate-main negative probe, and path-permutation matrix.	todo
ARCH-012	F0	9.1	sv0.toml, when present, SHALL be described only as native-build configuration. I	874c00806c50	Documentation lint and config-schema probe.	todo
ARCH-013	Future	9.1	A hierarchical strings::... alias layer MAY be added only after nested modules a	60aa151c8529	Compatibility compile matrix.	todo
ARCH-014	F0	9.1	The exported API SHALL be machine-inventoried. A helper documented as private SH	ca55cbd3a292	Public-surface manifest and cross-module privacy negative tests.	todo
ARCH-015	F0	9.1	The package test runner SHALL use the native VM project emitter for VM conforman	b97177757984	Runner command audit and backend-identity manifest.	todo
