id	provenance	standard	generator	input_sha1	expected_sha1	unit	path
F-TYPES-SMOKE-001	SS-005; SPEC 21.1; construct+destructure every non-borrowing strings_types value type	SPEC-0.4.0	hand	e034b6c28a47f5e50da2bd7b2bece474c46e6f36	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	state	test/cases/types_smoke.sv0
F-C23-HEADER-SURFACE-001	SS-152; SPEC C23-020 / C23-026 / C23-028; non-function <string.h> surface	C23	hand	cbc4fbefede22e3da289225a2a8dd2a3764fb4b7	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	state	test/cases/c23_header_surface.sv0
F-POSIX-HEADER-SURFACE-001	SS-172; SPEC POSIX-016; POSIX.1-2024 Issue 8 non-function <string.h>/<strings.h> surface	POSIX.1-2024	hand	8b09434a961c7dcac3419ef56e904ca61a91f68f	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	state	test/cases/posix_header_surface.sv0
F-PRELUDE-OPTION-RESULT-001	SS-U06; SPEC 21.1; strings_types Option/Result scalar-payload monomorphization	SPEC-0.4.0	hand	820f28929cb4088781f80757bb0b69be5e1775ac	424f66b6b38d7cf6aa4bf8bb11f709f2625d1ddf	state	test/cases/prelude_option_result.sv0
F-C23-ANNEX-K-ABSENT-001	SS-153; SPEC C23K-001 / Appendix A.3; Annex K _s functions Excluded	C23	hand	51091c931d7568bf71ba958ef20fca347d2807c0	af9c42bea21d624e40594140c902f7fb4f271ef5	error	test/compile_fail/c23_annex_k_absent.sv0
F-C23-MEMCPY-OVERLAP-001	SS-142; SPEC C23-004; overlapping memcpy args are a conflicting borrow (E0323)	C23	hand	1b1aad30ccbb6facdce067e355330001fdb8d3f6	24d53c9fd6e819b70093e6ce08c419f9d14d8bde	error	test/compile_fail/c23_memcpy_overlap.sv0
F-C23-MEMSET-EXPLICIT-BLOCKED-001	SS-148; SPEC C23-014 / BYTE-010; memset_explicit stays Blocked, not aliased to memset	C23	hand	0d808ed1b0f4266b061e72d82e644a845bb31a55	af9c42bea21d624e40594140c902f7fb4f271ef5	error	test/compile_fail/c23_memset_explicit_blocked.sv0
F-FILL-EXPLICIT-BLOCKED-001	SS-108; SPEC BYTE-010; fill_explicit stays Blocked (no non-elision guarantee)	SPEC-0.4.0	hand	c746dcb95c34c038d39cb7a0274cb06735254be8	af9c42bea21d624e40594140c902f7fb4f271ef5	error	test/compile_fail/fill_explicit_blocked.sv0
F-LEGACY-NOT-IN-C23-001	SS-171; SPEC LEGACY-001 / Appendix A.6; removed <strings.h> names only under strings_legacy	POSIX.1-2024	hand	ee198b9a0049d47bae99b363ecead4559b66324c	af9c42bea21d624e40594140c902f7fb4f271ef5	error	test/compile_fail/legacy_not_in_c23.sv0
F-NESTED-MODULE-001	SS-008; SPEC UP-019 / ARCH-001 / BL-112; nested module declaration rejected	SPEC-0.4.0	hand	664ef2826836d337c4caff5b0fd1cbcf62ea79c0	af9c42bea21d624e40594140c902f7fb4f271ef5	error	test/compile_fail/nested_module.sv0
