category	path	note
boundary	test/fixtures/regressions/embedded_nul_substr.sv0	F-EMBEDDED-NUL-SUBSTR-001 (SS-009)
boundary	test/fuzz/bytes_fuzz.sv0	F-BYTES-FUZZ-001 (SS-183) slice lens 0..16, needle sweeps
boundary	test/fuzz/c23_fuzz.sv0	F-C23-FUZZ-001 (SS-154)
boundary	test/property/bytes_copy.sv0	F-BYTES-COPY-001 (SS-105)
boundary	test/property/bytes_fill.sv0	F-BYTES-FILL-001 (SS-106)
boundary	test/property/bytes_find_slice.sv0	F-BYTES-FIND-SLICE-001 (SS-103)
boundary	test/property/bytes_move_within.sv0	F-BYTES-MOVE-WITHIN-001 (SS-106)
boundary	test/property/bytes_span.sv0	F-BYTES-SPAN-001 (SS-104)
boundary	test/property/c23_c21_030.sv0	F-C23-C21-030-001 (SS-151)
boundary	test/property/c23_span.sv0	F-C23-SPAN-001 (SS-146)
boundary	test/property/c23_strcpy_family.sv0	F-C23-STRCPY-FAMILY-001 (SS-144)
boundary	test/property/c23_strdup_family.sv0	F-C23-STRDUP-FAMILY-001 (SS-145)
boundary	test/property/c23_strtok.sv0	F-C23-STRTOK-001 (SS-147)
boundary	test/property/checked_overflow.sv0	F-CHECKED-OVERFLOW-001 (SS-006)
boundary	test/property/cstr_owned.sv0	F-CSTR-OWNED-001 (SS-127)
boundary	test/property/owned_lifecycle.sv0	F-OWNED-LIFECYCLE-001 (SS-130)
boundary	test/property/posix_ffs.sv0	F-POSIX-FFS-001 (SS-170)
boundary	test/property/posix_memmem.sv0	F-POSIX-MEMMEM-001 (SS-161)
boundary	test/property/posix_stpcpy.sv0	F-POSIX-STPCPY-001 (SS-162)
boundary	test/property/posix_strl.sv0	F-POSIX-STRL-001 (SS-163)
boundary	test/property/posix_strnlen.sv0	F-POSIX-STRNLEN-001 (SS-164)
boundary	test/property/posix_strtok_r.sv0	F-POSIX-STRTOK-R-001 (SS-165)
boundary	test/property/text_concat.sv0	F-TEXT-CONCAT-001 (SS-123)
boundary	test/property/text_search_slice.sv0	F-TEXT-SEARCH-SLICE-001 (SS-124)
boundary	test/property/tokenize_cursor.sv0	F-TOKENIZE-CURSOR-001 (SS-129)
boundary	test/property/utf8_validate.sv0	F-UTF8-VALIDATE-001 (SS-121)
embedded-nul	test/fixtures/regressions/embedded_nul_concat.sv0	F-EMBEDDED-NUL-CONCAT-001 (SS-009)
embedded-nul	test/fixtures/regressions/embedded_nul_eq.sv0	F-EMBEDDED-NUL-EQ-001 (SS-009)
embedded-nul	test/fixtures/regressions/embedded_nul_len.sv0	F-EMBEDDED-NUL-LEN-001 (SS-009)
embedded-nul	test/fixtures/regressions/embedded_nul_substr.sv0	F-EMBEDDED-NUL-SUBSTR-001 (SS-009)
embedded-nul	test/fuzz/bytes_fuzz.sv0	F-BYTES-FUZZ-001 (SS-183) alphabet 0..5 includes 0x00
embedded-nul	test/property/bytes_compare_equal.sv0	F-BYTES-COMPARE-EQUAL-001 (SS-101)
embedded-nul	test/property/c23_c21_030.sv0	F-C23-C21-030-001 (SS-151)
embedded-nul	test/property/c23_memcpy_family.sv0	F-C23-MEMCPY-FAMILY-001 (SS-142)
embedded-nul	test/property/c23_search_compare.sv0	F-C23-SEARCH-COMPARE-001 (SS-143)
embedded-nul	test/property/cstr_construct.sv0	F-CSTR-CONSTRUCT-001 (SS-126)
embedded-nul	test/property/legacy_aliases.sv0	F-LEGACY-ALIASES-001 (SS-171)
embedded-nul	test/property/posix_memmem.sv0	F-POSIX-MEMMEM-001 (SS-161)
embedded-nul	test/property/posix_strnlen.sv0	F-POSIX-STRNLEN-001 (SS-164)
embedded-nul	test/property/text_concat.sv0	F-TEXT-CONCAT-001 (SS-123)
embedded-nul	test/property/text_length_equality.sv0	F-TEXT-LENGTH-EQUALITY-001 (SS-122)
empty	test/fuzz/bytes_fuzz.sv0	F-BYTES-FUZZ-001 (SS-183) ak/bk can be 0
