file	anchor	kind	normative	rationale
scripts/check	skipping generator drift checks	drift-skip	no	The governing SPEC lives in the private ../project-specs tree, absent from this submodule checkout and from CI. The committed requirements.tsv / standards.tsv are frozen and independently consistency-checked by check_catalogs; the drift check is a generator sanity check, not a requirement verification.
scripts/locale_matrix	locale -a 2>/dev/null || true	probe-guard	no	Captures the host locale list for the availability probe; the trailing || true only avoids a nonzero exit when the list is empty. Not a gate step and not a normative leg.
scripts/locale_matrix	skip locale $L	capability-skip	no	C and POSIX (the two mandatory profiles) are always present and always run. The UTF-8 locales are best-effort on dev hosts; CI sets SV0_STRINGS_REQUIRE_LOCALES so a missing en_US.UTF-8 / tr_TR.UTF-8 is a hard failure there, never a skipped normative leg.
scripts/test	C=skip	conditional-leg	no	Emitted only when a test/expectations.tsv row's c_exit is the literal SKIP; there are zero such rows today. Reserved for a legitimately VM-only fixture, which would carry its own rationale in that row's note column.
scripts/test	VM=skip	mode-unsupported	no	VM project mode has no contract-mode selector (SPEC OQ-012 / UP-028); a non-runtime request is reported unsupported rather than faked. The default gate runs contract-mode=runtime so this never triggers; SS-185's verified/disabled matrix records unsupported distinctly and never counts it as a pass.
scripts/sanitize	scripts/sanitize: SKIP	capability-skip	no	Local-dev convenience when the cc lacks -fsanitize=address,undefined. CI sets SV0_STRINGS_REQUIRE_SANITIZERS=1, which turns this into a hard failure, so release evidence always contains the sanitizer run.
scripts/sanitize	detect_leaks=0	leak-carveout	no	Apple's ASan has no LeakSanitizer and aborts if detect_leaks is forced on. Linux CI runs with leak detection enabled, so the leak evidence is produced there; macOS is a dev host, not a release-evidence host.
scripts/contract_matrix	diff <(printf '%s' "$NEW_CONTENT") "$CATALOG" >&2 || true	probe-guard	no	Purely cosmetic: prints a human-readable diff when a drift is detected. overall_fail was already set by the classification loop above, so this line cannot mask a failure -- it only affects what gets echoed to stderr.
scripts/consumer_rehearsal	diff <(printf '%s' "$NEW_CONTENT") "$CATALOG" >&2 || true	probe-guard	no	Purely cosmetic: prints a human-readable diff when a drift is detected. overall_fail was already set by the classification loop above, so this line cannot mask a failure -- it only affects what gets echoed to stderr.
scripts/path_order_corpus	diff <(printf '%s' "$NEW_CONTENT") "$CATALOG" >&2 || true	probe-guard	no	Purely cosmetic: prints a human-readable diff when a drift is detected. overall_fail was already set by the classification loop above, so this line cannot mask a failure -- it only affects what gets echoed to stderr.
scripts/test	ckind="skip"	conditional-leg	no	SS-013 --serialize kind classification mirrors the pre-existing C=skip anchor above: only reachable when a test/expectations.tsv row's c_exit is the literal SKIP, which no row uses today.
scripts/test	vkind="skip"	conditional-leg	no	SS-013 --serialize kind classification mirrors the pre-existing VM=skip anchor above (VM project mode has no contract-mode selector, SPEC OQ-012/UP-028); the default runtime-mode gate never triggers this.
scripts/test	SV0_STRINGS_CORRUPT_SERIALIZED:-}" == "$main"	probe-guard	no	SS-013 injected-mismatch hook: SV0_STRINGS_CORRUPT_SERIALIZED is set only by serialized_mismatch_probe inside --self-test, never by the real gate; excludes an already-skip row so the probe cannot corrupt a fixture the gate wasn't comparing anyway.
scripts/test	-z "$vk" || "$ck" == "skip" || "$vk" == "skip"	conditional-leg	no	check_serialized_match excludes skip-kind rows from the cross-backend agreement check for the same reason the C=skip/VM=skip anchors above are reserved-but-unused: a skip means this backend was never compared for this fixture, so there is nothing to agree or disagree with.
scripts/test	grep -c '^..*$' || true	probe-guard	no	grep -c exits nonzero when the match count is 0; the || true only prevents that from tripping the caller under set -o pipefail -- the printed/returned count (including a legitimate 0) is unaffected either way.
scripts/serialized_comparison	diff <(printf '%s' "$NEW_CONTENT") "$CATALOG" >&2 || true	probe-guard	no	Purely cosmetic: prints a human-readable diff when a drift is detected. The script already exited 1 on the branch above before this line runs, so this line cannot mask a failure -- it only affects what gets echoed to stderr.
